,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Greece,Ireland,Italy,Netherlands,Norway,Spain,Sweden,United Kingdom,United States
1980,-,9259,2727,1000,65,-,18790,107818,1792,-,1541,1350,101,-,-,2352,26512
1981,-,34557,2287,3000,123,15,19863,49391,2240,-,2767,1594,95,325,12651,2425,61568
1982,-,6314,2908,5000,298,12,22505,37423,1194,-,2520,1214,100,2459,10225,4223,33296
1983,-,5898,2908,9400,800,16,22350,19737,447,-,1993,2015,150,1416,7050,4296,26091
1984,-,7208,3646,11000,4312,25,21714,35278,764,-,2766,2603,300,1179,12000,4171,24295
1985,-,6724,5299,13000,8698,18,28925,73832,1398,-,4093,5644,829,2360,14500,6156,16622
1986,-,8639,7644,26000,9299,23,26290,99650,4230,-,5429,5865,2722,2280,14600,5714,18889
1987,-,11406,5976,38000,2726,49,27672,57379,6934,-,10115,13460,8613,2477,18114,5863,26107
1988,-,15790,5078,48000,4668,64,34352,103076,8424,-,-,7486,6602,4516,19595,5739,60736
1989,1262,21882,8112,19934,4588,179,61422,121315,3000,-,-,13900,4433,4077,30335,16775,101679
1990,12128,22789,12963,36735,5292,2743,54813,193063,6166,-,4827,21208,3962,8647,29420,38195,73637
1991,16743,27306,15173,32347,4609,2134,47380,256112,2672,31,23317,21615,4569,8138,27351,73400,56310
1992,6054,16238,17647,37748,13884,3634,28872,438191,1850,39,6042,20346,5238,11708,84018,32300,103964
1993,7198,4745,26882,20292,14347,2023,27564,322599,813,91,1647,35399,12876,12615,37583,28000,143118
1994,6264,5082,14353,22006,6651,839,25987,127210,1303,362,1786,52573,3379,11992,18640,42200,144577
1995,7632,5919,11420,26072,5104,854,20416,127937,1312,424,1732,29258,1460,5678,9047,55000,149065
1996,9758,6991,12433,26120,5893,711,17405,116367,1643,1179,675,22170,1778,4730,5753,37000,107130
1997,9312,6719,11788,22584,5092,973,21416,104353,4376,3883,1858,34443,2271,4975,9662,41500,52200
1998,8156,13805,21965,23838,9370,1272,22375,98644,2953,4626,11122,45217,8373,6654,12844,58500,35903
1999,9451,20096,35780,29393,7092,3106,30907,95113,1528,7724,33364,42733,10160,8405,11231,71105,32711
2000,13065,18284,42691,34252,12200,3170,38747,78564,3083,10938,15564,43895,10842,7926,16303,98900,40867
2001,12366,30135,24549,44038,12512,1651,54291,88287,5499,10325,9620,32579,14782,9489,23515,91600,59432
2002,5863,39354,18805,39498,6068,3443,58971,71127,5664,11634,16015,18667,17480,6309,33016,103080,58439
2003,4295,32359,16940,31937,4593,3221,59768,50563,8178,7900,13455,13402,15959,5918,31348,60050,43338
2004,3201,24634,15357,25750,3235,3861,58545,35607,4469,4769,9722,9782,7945,5535,23161,40625,44972
2005,3204,22461,15957,20786,2260,3574,49733,28914,9050,4324,9548,12347,5402,5254,17530,30840,39240
2006,3515,13349,11587,22873,1918,2331,30748,21029,12267,4314,10348,14465,5320,5297,24322,28320,41101
2007,3980,11921,11115,28342,1852,1434,29387,19164,25113,3988,14053,7102,6528,7662,36370,28300,40449
2008,4771,12841,12252,34800,2360,4016,35404,22085,19884,3866,30324,13399,14431,4517,24353,31315,39362
2009,6206,15821,17186,33970,3819,5910,42118,27649,15928,2689,17603,14905,17226,3007,24194,30675,38080
2010,8250,11020,19940,23160,4970,4020,47790,41330,10270,1940,8190,13330,10060,2740,31820,22090,41005
